Dropping Center Code,Date of Material Collection (DD/MM/YY),Number of Bags loaded in vehicle ,Material weight (In KGs),Vehicle Category,How much vehicle is filled,Type,To which PU/Center material is being sent
2025/HRY/DC/6885,10/29/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,10/16/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,10/2/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,11/5/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,11/11/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,11/18/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,11/19/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,11/26/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,11/26/2024,Imported Dispatches,500,Tata Ace (750 KG),Full,Dropping Center,7
2025/HRY/DC/6885,11/29/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,12/3/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,12/10/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,12/11/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,12/13/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,12/17/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,12/21/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,12/26/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,12/31/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,1/6/2025,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,1/9/2025,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,1/15/2025,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,1/17/2025,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,1/21/2025,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,1/28/2025,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,1/30/2025,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,2/10/2025,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,04/04/2022,Imported Dispatches,900,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,13/04/2022,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,13/04/2022,Imported Dispatches,850,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,19/04/2022,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,27/04/2022,Imported Dispatches,950,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,09/05/2022,Imported Dispatches,1300,Tata 407 (2500 KG),Full,Dropping Center,7
2025/UPD/DC/6762,05/04/2023,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,14/04/2023,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,20/04/2023,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,27/04/2023,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,05/05/2023,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,18/05/2023,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,25/05/2023,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,15/06/2023,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,21/06/2023,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,30/06/2023,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,13/07/2023,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,18/07/2023,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,26/07/2023,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,01/08/2023,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,11/08/2023,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,01/09/2023,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,06/09/2023,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,14/09/2023,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,20/09/2023,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,05/10/2023,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,09/10/2023,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,20/10/2023,Imported Dispatches,625,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,27/10/2023,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,07/11/2023,Imported Dispatches,1200,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,25/11/2023,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,15/12/2023,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,29/12/2023,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,29/12/2023,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,12/01/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,17/01/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,17/01/2024,Imported Dispatches,1200,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,21/02/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,01/03/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,20/03/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,22/03/2024,Imported Dispatches,400,Eco (500 KG) Champion (500 KG),Full,Dropping Center,7
2025/UPD/DC/6762,29/03/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,04/04/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,12/04/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,16/04/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,25/04/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,29/04/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,02/05/2024,Imported Dispatches,600,Tata Ace (750 KG),Full,Dropping Center,7
2025/UPD/DC/6762,09/05/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,23/05/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,17/05/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,28/05/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,28/05/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,27/06/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,05/07/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,02/07/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,01/08/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,18/08/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,12/08/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,9/3/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,9/10/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,9/26/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,10/10/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,10/16/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,10/23/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,10/29/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,10/30/2024,Imported Dispatches,500,Tata Ace (750 KG),Full,Dropping Center,7
2025/UPD/DC/6762,11/28/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,11/28/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,12/26/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,1/7/2025,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,1/29/2025,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,1/30/2025,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/UPD/DC/6762,2/12/2025,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6792,01/02/2024,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6792,19/03/2024,Imported Dispatches,900,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6792,02/04/2024,Imported Dispatches,500,Tata Ace (750 KG),Full,Dropping Center,7
2025/DEL/DC/6792,09/05/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6792,26/06/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6792,12/31/2024,Imported Dispatches,500,Tata Ace (750 KG),Full,Dropping Center,7
2025/DEL/DC/6793,01/03/2024,Imported Dispatches,1200,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6793,06/03/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6793,11/03/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6793,04/04/2024,Imported Dispatches,500,Tata Ace (750 KG),Full,Dropping Center,7
2025/DEL/DC/6793,01/05/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6793,04/06/2024,Imported Dispatches,500,Tata Ace (750 KG),Full,Dropping Center,7
2025/DEL/DC/6793,03/07/2024,Imported Dispatches,600,Tata Ace (750 KG),Full,Dropping Center,7
2025/DEL/DC/6793,10/8/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6793,12/5/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6816,14/04/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6816,21/05/2024,Imported Dispatches,600,Tata Ace (750 KG),Full,Dropping Center,7
2025/DEL/DC/6816,03/08/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6816,11/9/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6816,12/3/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6816,12/11/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6816,12/13/2024,Imported Dispatches,500,Tata Ace (750 KG),Full,Dropping Center,7
2025/HRY/DC/6769,24/07/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6769,9/3/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6769,9/12/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6769,9/27/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6769,11/22/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6769,12/30/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6769,12/30/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6769,1/13/2025,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/7032,10/9/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/7032,10/29/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/PNB/DC/6988,03/06/2024,Imported Dispatches,5000,17ft Truck (5000 KG),Full,Dropping Center,7
2025/RAJ/DC/6953,03/08/2024,Imported Dispatches,3000,14ft Truck (3500 KG),Full,Dropping Center,7
2025/RAJ/DC/6953,10/19/2024,Imported Dispatches,700,Pickup 8ft (1250 KG),Full,Dropping Center,7